Address,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,YearBuilt,BuiltCode,YearAlter1,YearAlter2
84 BRADHURST AVENUE,5,10,10,24.92,75,25,61,1910,,0,0
260 WEST 22 STREET,4,9,9,25,98.75,25,52,1905,E,0,0
404 WEST 54 STREET,10,99,99,125,110,125,66,1993,,0,0
355 EAST 116 STREET,4,3,4,22,100.92,22,83,1900,E,2010,2009
230 WEST 113 STREET,6,26,26,50,100.92,50,89,1920,E,1987,0
129 WEST 29 STREET,12,0,16,74.08,98.75,74,92,1911,,2009,0
26 FT CHARLES PLACE,4,19,19,50.42,70,50,58,1922,,1988,0
458 WEST 146 STREET,4,8,8,40,99.92,40,94,1926,,0,0
290 MADISON STREET,0,0,0,55.92,87,0,0,0,,0,0
6 GREENWICH MEWS,3,1,1,35,21,35,20,1989,,0,0
535 WEST 160 STREET,5,20,20,44.17,99.92,44,84,1910,E,1989,0
23 WASHINGTON SQUARE N,3.5,7,7,27.25,99.17,27,84,1900,E,0,0
44 WEST 77 STREET,14.5,32,32,100,102.17,100,89,1909,,1980,0
176 LEXINGTON AVENUE,4,5,7,19.75,64,20,62,1910,E,1980,0
787 LEXINGTON AVENUE,5,3,5,20,80,20,80,1910,,0,0
243 EAST 81 STREET,6,44,44,45,102.17,45,77,1910,E,1972,0
383 8 AVENUE,4,3,5,28.75,60,29,60,1910,E,0,0
908 AMSTERDAM AVENUE,5,16,18,25,100,25,80,1926,E,1985,0
111 WEST 115 STREET,0,0,0,25,100.92,0,0,0,,0,0
45 BROADWAY,33,0,36,80.25,194,80,186,1983,,0,0
181 CONVENT AVENUE,13,0,1,396.67,408.08,397.67,408.08,1971,,0,0
495 WEST STREET,11,9,9,67.67,80,0,0,1998,,0,0
53 LIBERTY STREET,33,87,92,57.75,82.08,58,84,1911,,1981,0
121 WEST 122 STREET,3,8,8,19.42,100.92,19,60,1910,E,1988,0
1368 AVENUE OF THE AMER,34,0,87,100.42,122.5,85.33,112.42,1971,,2002,0
433 EAST 85 STREET,3,3,3,16.92,102.17,16,57,1880,E,0,0
7 SYLVAN COURT,2,1,1,16.25,46,16.25,36,1899,E,0,0
604 EAST 9 STREET,5,20,20,25,93.92,25,79,1910,E,1988,0
361 WEST 121 STREET,5,14,14,35,100,35,93,1909,E,1980,0
1305 1 AVENUE,20,150,150,100.42,125,81,120,1975,,2002,0
320 EAST 66 STREET,4,0,1,18.75,100.42,18.75,50,1910,E,0,0
15 EAST 65 STREET,4,0,2,31,100.42,31,80,1900,E,0,0
DELANCEY STREET,0,0,0,66.75,2,0,0,0,,0,0
125 EAST 118 STREET,6,24,24,50,100.92,50,87,1920,E,1975,0
127 WEST 43 STREET,13,0,3,144.17,100.42,144.17,100.42,1902,,1985,2004
3624 BROADWAY,6,38,44,99.92,100,98,91,1920,E,1986,0
28 JONES STREET,3,4,4,21.08,97.5,21,48,1920,E,0,0
167 AVENUE A,5,8,9,23.67,94,24,76,1910,,1986,2008
17 WEST 129 STREET,4,7,8,20,99.92,20,54,1926,,1986,0
1514 MADISON AVENUE,5,8,11,20,100.92,20,96,1920,E,1986,0
7 EAST 93 STREET,5,10,10,21,100.67,21,71,1920,E,0,0
526 EAST 6 STREET,5,17,18,25.08,97,25.08,54,1900,E,0,0
277 1 AVENUE,4,2,4,20,80,20,40,1910,E,1961,0
1840 1 AVENUE,1,0,0,201.42,155,20,20,1960,E,0,0
509 MANHATTAN AVENUE,3,1,1,16,90,16,58,1901,,0,0
309 EAST 10 STREET,4,10,10,25,112,25,88,1900,E,0,0
27 ST MARKS PLACE,6,20,22,26,112.83,26,94,1900,E,1988,0
101A WEST 136 STREET,3,7,7,16.67,99.92,17,73,1920,E,0,0
347 WEST 29 STREET,4,15,15,22,98.75,22,54,1910,E,1987,0
19 SUTTON PLACE,4,1,1,16.67,51.08,16.67,49,1899,E,0,0
49 EAST 80 STREET,5,1,1,25,102.17,25,65,1925,E,0,0
14 ST MARKS PLACE,5,8,9,26,120,26,114,1900,E,0,0
234 MULBERRY STREET,5,18,20,25.33,99,25,78,1901,E,2011,0
379 BROOME STREET,2,2,3,25.25,120.08,25.17,80,1920,E,2014,0
132 EAST 45 STREET,12,94,95,75,100.42,75,100,1915,,1981,0
232 EAST 63 STREET,6,1,1,25,100.42,25,80,1925,,2007,2007
261 SEAMAN AVENUE,6,73,73,150,100,149,83,1927,,1983,0
123 5 AVENUE,5,0,5,22.5,100,23,100,1915,E,0,0
145 WEST 138 STREET,5,13,14,25,100,25,93,1915,E,0,0
29 EAST BROADWAY,5,12,16,25,87.5,25,70,1900,E,1981,0
30 MT MORRIS PARK WEST,3,6,6,20,80,20,50,1909,,0,0
109 ELDRIDGE STREET,6,22,24,25,100.33,25,86,1900,,1962,0
320 EAST 59 STREET,5,16,17,25,100.42,25,78,1920,E,1987,0
825 5 AVENUE,23,64,65,70.42,120,70,110,1927,,1989,0
57 WEST 73 STREET,4,9,9,20,102,20,68,1910,E,2006,0
698 9 AVENUE,5,13,15,29.83,100,30,96,1920,E,1989,0
524 EAST 88 STREET,5,36,36,100,100.67,50,74,1900,E,1989,0
710 2 AVENUE,16,154,160,98.75,100,13,40,1930,E,0,0
314 WEST 58 STREET,5,6,8,40.83,100.42,41,82,1962,,1985,2005
750 9 AVENUE,5,13,14,25,100,25,87,1920,E,0,0
407 EAST 70 STREET,5,0,1,50,55.33,50,50,1920,,1985,0
2196 FREDRICK DOUGLASS BL,8,13,13,25,80,25,66,1910,E,1988,2006
HARLEM RIVER DRIVE,0,0,0,33.31,188.94,0,0,0,,0,0
46 MAC DOUGAL STREET,3,1,2,20,75,20,50,1899,E,2004,0
335 EAST 82 STREET,3,4,4,17.83,102.17,18,50,1920,E,0,0
114 WEST 117 STREET,3,3,3,21,100.92,21,43,1999,,0,0
108 WEST 120 STREET,3,4,4,18,100.92,18,61,1920,,1990,0
307 MOTT STREET,5,61,61,45.5,82.33,23,70,1880,E,1958,0
547 BROADWAY,6,9,13,25,200.25,25,198,1920,E,2004,2013
409 WEST 51 STREET,5,33,33,50,100.42,25,40,1910,,1999,0
476 BROOME STREET,6,7,9,50,100,50,125,1920,E,2014,0
343 WEST 44 STREET,7,0,1,50,100.42,50,100,1926,,1965,2006
450 WEST 25 STREET,5,1,1,18,98.75,18,44,1910,E,2013,0
65 EAST 82 STREET,6,0,1,20,102.17,20,68,1899,E,0,0
160 EAST 27 STREET,12,69,72,49.33,112,49,88,1963,,1988,0
1747 AMSTERDAM AVENUE,5,9,10,25,100,25,84,1926,,1986,2000
63 UNIVERSITY PLACE,12,205,215,190,112,40,96,1923,,1978,0
3 MERCER STREET,3,0,3,37,51.83,37,52,1915,E,1988,0
434 WEST 47 STREET,5,10,10,27,100.42,27,86,1920,E,1985,0
417 WEST 146 STREET,4,3,3,12.5,99.92,12.5,53,1926,,0,0
125 WEST 72 STREET,6,0,11,20,102.17,20,102,1930,E,0,0
30 WEST 32 STREET,6,0,6,22.5,98.75,23,99,1910,E,0,0
450 WEST 36 STREET,1,0,1,25,98.75,25,98,1910,E,0,0
145 WEST 81 STREET,5,2,2,19.5,102.17,19.5,55,1900,E,2006,2002
200 BRADHURST AVENUE,6,41,41,57.75,124.5,58,110,1910,E,1986,0
227 MOTT STREET,5,18,20,25,99,25,88,1900,E,0,0
28 EAST 130 STREET,3,6,6,18.08,99.92,18,59,1900,,1989,0
2140 3 AVENUE,4,0,4,25,100,25,100,1910,,0,0
362 WEST 123 STREET,3,2,2,16,100.92,16,60,1899,E,0,0
265 HENRY STREET,4,2,3,48,89.33,48,88,1900,E,0,0
208 EAST 73 STREET,4,7,9,25,102.17,25,81,1920,E,1987,0
141 FULTON STREET,6,2,6,25.5,76.33,26,75,1960,,1989,2009
10 PATCHIN PLACE,3,3,3,17.5,76.67,17.5,40,1899,E,0,0
228 WEST 141 STREET,5,13,13,37.5,99.92,37.5,85,1920,,2000,0
303 EAST 102 STREET,0,0,0,25,75.92,0,0,0,,0,0
85 THOMPSON STREET,1,0,1,250.25,100,21.33,34.5,1935,,0,0
112 WEST 27 STREET,7,0,1,40,98.75,40,99,1907,,1988,0
158 EAST 93 STREET,3,1,1,16.5,100.67,16.5,45,1901,E,0,0
163 ATTORNEY STREET,5,18,18,25,100,25,52,1910,E,1999,0
409 EAST 81 STREET,5,20,20,25,102.17,25,58,1900,E,1989,0
278 MADISON AVENUE,14,0,75,54,120,54,120,1930,E,1988,0
500 WEST 170 STREET,5,18,21,37.5,100,36,86,1907,,0,0
157 EAST 118 STREET,5,10,10,25,100.92,25,74,1900,E,0,0
90 CHURCH STREET,15,0,1,203,392.25,200,372,1935,,1964,2005
12 EAST 63 STREET,6,1,1,25,100.42,25,68,1910,E,2005,2009
622 ST NICHOLAS AVENUE,5,10,11,20.08,108.75,20.08,103.75,1910,E,1989,0
3200 BROADWAY,6,30,34,112.58,85,101.33,87,1901,,1992,0
137 EAST 27 STREET,2,2,3,31,24.67,9,19,1910,E,0,0
368 EAST 69 STREET,6,1,2,16.67,77.33,16.67,77.33,1899,E,2010,0
800 7 AVENUE,3,1,2,75.42,74.33,75.42,74.23,1939,E,1987,0
135 LUDLOW STREET,1,0,1,9.25,25,9.25,25,1920,,0,0
59 EAST 78 STREET,5,3,3,18,102.17,18,81,1910,E,1988,1997
566 WEST 190 STREET,5,26,26,62.5,89.75,63,78,1916,,0,0
461 COLUMBUS AVENUE,5,12,15,26.67,100,27,100,1900,E,0,0
545 EAST 11 STREET,2,0,1,40,103.25,40,100,1920,E,0,0
14 JEFFERSON STREET,3,3,3,20.08,52.25,20.08,41,1901,E,2008,2008
312 WEST 92 STREET,5,3,3,20,123,20,81,1900,,0,0
117 EAST 80 STREET,4,1,1,37.5,102.17,18.75,55,1901,E,2004,0
6 WEST 111 STREET,3,0,1,45,171.83,45,171,1940,E,0,0
140 WEST 86 STREET,15.5,44,48,63.33,106.83,63,85,1925,,2007,0
527 LENOX AVENUE,2,0,1,27,75,27,60,1910,E,2004,0
114 WARREN STREET,0,0,0,91.85,43.49,0,0,0,,0,0
217 WEST 111 STREET,6,25,25,50,100.92,50,88,1920,E,1991,0
447 EAST 118 STREET,3,4,4,19.75,100.92,20,47,1900,E,0,0
607 10 AVENUE,4,4,5,52.25,25.42,25.83,40,1880,E,0,0
1481 5 AVENUE,30,206,207,201.83,132.65,174,123,2007,,0,0
20 LEROY STREET,3,3,3,20,80,20,42,1901,E,0,0
FT WASHINGTON AVENUE,0,0,0,2,100.75,0,0,0,,0,0
161 GRAND STREET,12,18,20,50.58,80.17,50,80,1911,,0,0
1297 1 AVENUE,4,5,6,25,77,25,60,1910,,0,0
19 BEEKMAN STREET,6,0,12,44.25,102.67,44,100,1925,,1985,0
23 CLINTON STREET,6,16,18,25,100,25,52,1920,E,1986,2005
2651 BROADWAY,7,0,4,60,100,60,94,1910,,1989,0
495 MANHATTAN AVENUE,3,2,2,15,80,15,56,1899,E,0,0
550 FT WASHINGTON AVENUE,5,29,29,75,105,75,93,1922,,1987,0
21 EAST 67 STREET,5,0,3,22,100.42,22,90,1910,,0,0
F D R DRIVE,0,0,0,261.83,304,0,0,0,,0,0
148 SPRING STREET,4,0,3,20,80,20,80,1920,E,1983,2007
723 WASHINGTON STREET,3.5,2,3,36,91.58,36,83,1941,E,1989,0
317 EAST 73 STREET,5,20,20,25,102.17,25,80,1910,,1986,0
28 MT MORRIS PARK WEST,3,3,3,20,80,20,50,1899,E,0,0
441 WEST 37 STREET,2,0,1,25,98.75,25,70,1910,E,1984,0
701 10 AVENUE,4,5,6,25.08,100,25,81,1910,E,1987,0
1513 LEXINGTON AVENUE,5,8,9,25,95,25,75,1910,E,2007,0
241 WEST 29 STREET,17,1,50,79.08,98.75,79.08,98.75,1928,,0,0
6 WEST 122 STREET,3,1,1,20,100.92,20,52,1909,,2009,2009
102 WEST 137 STREET,6,6,6,25,99.92,25,86,1910,E,1998,0
2239 1 AVENUE,2,0,2,20,73,20,74,1910,E,0,0
319 WEST 80 STREET,5,10,10,17,102.17,17,83,1900,E,2008,0
221 EAST 110 STREET,3,3,3,23,100.92,23,46,1996,,0,0
27 HAMILTON TERRACE,4,2,2,17,78.08,17,50,1899,E,0,0
1 TUDOR CITY PLACE,26,764,776,197.5,108,198,108,1930,,0,0
648 9 AVENUE,5,18,20,25,100,25,76,1930,E,0,0
105 WEST 27 STREET,4,0,4,20,98.75,20,96,1910,E,1989,0
2 EAST 132 STREET,5,13,14,25,99,25,97,1910,,2010,0
342 EAST 59 STREET,6,0,1,75,100.42,75,92,1900,E,0,0
545 WEST 111 STREET,10,122,128,0.47,75.67,76,76,1930,,0,0
15 WILLIAM STREET,44,320,321,139.42,150.33,132,115,2005,,0,0
622 3 AVENUE,41,0,6,74.08,250,74,345,1974,,2001,2013
402 BROADWAY,3,0,2,25,100,25,91,1915,,1988,0
535 WEST 155 STREET,5,21,21,50,99.92,50,87,1906,,2001,0
610 ST NICHOLAS AVENUE,5,20,20,36.5,92.17,36.5,78.67,1910,,1992,0
16 MORNINGSIDE AVENUE,6,12,12,53.92,93.25,53,79,1902,E,1989,0
236 WEST 4 STREET,5,32,32,65.58,88,33,78,1900,E,0,0
21 SUTTON PLACE,4,1,1,17.42,51.08,17.42,49,1899,E,0,0
144 WEST 34 STREET,3,0,1,51.83,197.5,76.83,197.5,1900,E,1998,0
352 WEST 18 STREET,5,16,16,25,92,25,78,1910,E,0,0
45 WEST 14 STREET,5,0,1,25,103.25,25,100,1915,E,2013,0
104 VARICK STREET,0,0,0,63.25,35,0,0,0,,0,0
195 EAST 2 STREET,6,30,30,72.6,105.42,24.17,92.17,1900,E,1992,0
230 EAST 88 STREET,14,108,108,200,100.67,199.92,38.5,1967,,0,0
518 WEST 153 STREET,3,4,4,20,99.92,20,54,1900,,1986,0
66 WEST 109 STREET,6,22,24,37.5,100.92,38,84,1905,E,1984,0
145 WEST 94 STREET,3,5,5,17,100.67,17,48,1900,,1972,0
1435 3 AVENUE,4,12,14,25.58,101.67,26,100,1930,E,1985,0
239 CENTRE STREET,5,0,5,25,65.33,25,60,1900,,0,0
10 EAST 85 STREET,9,36,38,85.5,102.17,80,83,1925,,1988,0
311 WEST 87 STREET,3,8,8,18,100.67,18,67,1900,E,1958,0
158 EAST 110 STREET,4,6,8,25,60,25,58,1910,,1984,0
333 LAFAYETTE STREET,2,0,2,94.17,17.83,24,17,1926,E,1995,0
1130 2 AVENUE,0,0,0,200.83,650,0,650,0,,0,0
111 EAST 12 STREET,6,10,11,25,106.5,25,98,1900,E,0,0
13 UNIVERSITY PLACE,6,0,4,118.33,75.17,118.33,75.16,1930,,2000,0
5 VAN CORLEAR PLACE,3,2,2,30,80,20,42,1925,E,0,0
1481 PARK AVENUE,18,279,279,201.83,405,132,110,1963,,0,0
430 EAST 87 STREET,5,28,28,32,100.67,32,64,1925,E,1987,0
760 AMSTERDAM AVENUE,7,44,47,75.67,175.42,75,143,1901,E,0,0
130 WEST 118 STREET,3,2,2,20,100.92,20,55,1998,E,2001,0
5 WEST 91 STREET,6,48,48,147.92,100.71,147,55,1972,,0,0
31 WEST 57 STREET,0,0,0,27,100.42,0,0,0,,0,0
25 CORNELIA STREET,6,32,32,42.17,97.5,42,84,1900,E,1988,0
209 ELIZABETH STREET,4,1,2,25.73,99,25.73,94,1900,,2007,2005
172 EAST 104 STREET,4,9,9,25,100.92,25,78,1940,E,0,0
101 CLINTON STREET,5,16,18,25.25,100,25,88,1920,E,1985,0
88 MAC DOUGAL STREET,4,1,1,20,100.08,20,42,1899,E,2009,0
206 WEST 99 STREET,6,26,26,62.5,100.92,63,81,1925,,2004,0
418 EAST 85 STREET,6,44,44,58.33,102.17,58,72,1930,E,1989,0
196 WAVERLY PLACE,6,24,25,56.5,75,56,69,1900,E,1987,0
505 GRAND STREET,3,4,6,34.42,73.83,18,49,1910,E,0,0
235 5 AVENUE,7,0,1,30.67,100,30,100,1920,E,1991,0
309 EAST 83 STREET,5,12,14,25,102.17,25,77,1920,E,0,0
2179 3 AVENUE,5,8,9,25.08,100,25,89,1900,,1965,1994
55 WEST 126 STREET,3,4,4,19.25,99.92,19,57,1909,,0,0
114 BAXTER STREET,6,0,29,72.42,104.83,72,105,1900,E,1979,2009
61 LEXINGTON AVENUE,7,40,55,59.17,79.83,0,79.1,1930,,0,0
174 BROADWAY,12,0,9,25.67,50.17,26,50,1900,E,1989,0
167 WEST 126 STREET,3,6,6,16.67,99.92,17,50,1910,E,1988,2013
239 WEST 105 STREET,4,10,12,25,100.92,25,80,1926,,0,0
627 WEST END AVENUE,5,2,2,18,82,18,75,1899,E,0,0
533 WEST 148 STREET,3,8,8,16.67,99.92,17,60,1910,E,0,0
103 WEST 10 STREET,3,1,2,16.33,36,16.33,36,1910,E,2009,0
5 EAST 115 STREET,5,13,15,25,110,25,86,1920,E,1986,0
382 EAST 10 STREET,5,20,20,25,92.25,25,80,1930,E,1983,2011
223 AVENUE B,5,8,9,22,88,22,46,1910,E,1988,0
LAFAYETTE STREET,0,0,0,90.42,46.42,0,0,0,,0,0
2129 2 AVENUE,4,3,4,20,80,20,50,1900,E,1986,0
1576 2 AVENUE,4,6,8,21.17,64,20,62,1920,E,1984,0
11 WEST 16 STREET,3,0,1,100,92,100,92,1934,,1998,0
36 WEST 9 STREET,4,4,5,25.08,93.92,25,58,1900,E,0,0
308 WEST 127 STREET,4,26,26,25,99.92,25,65,1901,,0,0
23 WEST 45 STREET,3,0,4,25,100.42,25,100,1929,,0,0
109 MOTT STREET,5,26,28,25,99.67,25,49,1900,E,1986,0
447 EAST 57 STREET,15,23,23,76,100.42,56,80,1928,,0,0
1016 LEXINGTON AVENUE,4,1,5,17,80,17,66,1910,E,1987,0
442 EAST 117 STREET,0,0,0,36.88,100.92,0,0,0,,0,0
131 HENRY STREET,5,20,20,25.33,100,25,87,1900,E,1984,0
384 5 AVENUE,8,0,8,28,125,28,125,1906,,1984,0
139 WEST 119 STREET,3,2,2,20,100.92,20,68,1920,,2004,0
210 SULLIVAN STREET,5,25,25,25,100,25,52,1900,E,1987,0
48 BEDFORD STREET,5,10,10,15.67,75,23,62,1900,E,2012,0
1982 MADISON AVENUE,4,4,4,20,85,20,45,1909,E,0,0
9 EAST 76 STREET,4,1,1,22,102.17,22,43,1899,E,0,0
500 RIVERSIDE DRIVE,13,0,1,150,186,130,184,1926,,1984,2005
15 WEST 34 STREET,8,0,8,50,126.5,50,110,1907,,1983,0
150 EAST 18 STREET,14,221,223,92,212.75,92,193,1960,,1984,0
1454 2 AVENUE,5,9,11,27,100,27,64,1900,E,1988,0
870 8 AVENUE,20,381,387,200.83,128,200.83,112,1965,,0,0
15 WEST 129 STREET,4,5,5,20,99.92,20,50,1926,,1985,2001
409 WEST 47 STREET,3,0,1,25,100.42,25,96,1920,E,0,0
530 EAST 90 STREET,6,68,68,198.17,100.67,198,85,1942,,1986,0
112 SULLIVAN STREET,6,60,60,81,100,81,80,1920,,1963,0
373 1 AVENUE,3,2,3,24,100,24,45,1950,E,0,0
115 AVENUE C,3,0,1,19.33,63,19.33,45,1899,E,2009,0
5 TERRACE VIEW AVENUE,2.75,2,2,20,70,17.67,40,1901,E,0,0
501 WEST 17 STREET,0,0,0,380,184,0,0,0,,0,0
115 EAST 87 STREET,38,198,199,153.33,201.42,153,178,1972,,0,0
567 WEST 183 STREET,3,0,1,20,99.92,20,48,1900,E,2006,0
91 LUDLOW STREET,3,0,1,51.08,87.83,25,80,1900,E,0,0
1274 1 AVENUE,6,25,26,40,100,40,87,1920,,1984,0
110 WEST 76 STREET,4,10,10,20,102.17,20,66,1900,,1973,0
149 EDGECOMBE AVENUE,5,20,20,40,99.17,40,84,1910,E,0,0
83 MURRAY STREET,6,5,6,24.79,99.87,0,0,1924,,0,0
237 PARK AVENUE,1,0,2,50,201,20,158,1985,,2015,2015
109 EAST 39 STREET,4,5,7,25,98.75,25,76,1915,,0,0
529 WEST 121 STREET,4,0,2,23,100.92,23,88,1928,,0,0
569 WEST 192 STREET,5,29,29,75,100,75,86,1924,,0,0
548 WEST 148 STREET,3,4,4,16.67,99.92,17,51,1926,,1984,2006
313 EAST 12 STREET,6,36,36,50,103.25,50,87,1900,E,0,0
227 AVENUE B,1,0,3,68.75,47.83,68,47,1936,,1988,0
305 WEST 22 STREET,5,26,26,0.16,0,0,98.9,1920,,1985,0
601 AMSTERDAM AVENUE,18,265,271,201.4,200,200,134.92,1997,,0,0
312 EAST 92 STREET,6,28,28,50,100.67,50,67,1995,,0,0
116 PRINCE STREET,4,2,4,20,71,20,70,1900,E,0,0
125 SEAMAN AVENUE,6,48,48,100,100,93,86,1928,,1985,0
226 EAST 62 STREET,3,2,2,20,95,20,42,1905,E,0,0
309 EAST 81 STREET,5,20,20,25,102.17,25,83,1910,,1986,0
6 GROVE COURT,3,1,1,16.92,24,16.92,24,1901,E,0,0
864 BROADWAY,4,3,4,25,82.42,25,80,1900,E,2009,0
129 WEST 56 STREET,5,8,9,20.83,100.83,20.83,80.83,1920,E,2007,0
205 EAST 73 STREET,4,16,16,27.5,102.17,27.5,70,1910,,0,0
11 BROADWAY,22,0,50,162.33,200.67,152,200,1900,E,1920,0
41 WEST 24 STREET,8,12,13,20.83,98.75,20.8,94,1910,E,2014,0
428 EAST 58 STREET,4,8,9,20.5,100.42,21,58,1900,E,0,0
3565 BROADWAY,10,65,71,99.92,100,96,90,1915,,1989,0
WEST 114 STREET,0,0,0,22,70.11,0,0,0,,0,0
301 7 AVENUE,21,0,35,77.75,106.2,0,0,1920,,0,0
303 EAST 43 STREET,28,79,80,100.67,100.42,0,0,1983,,0,0
272 WEST 113 STREET,3,3,3,18,100.92,18,57,1890,E,0,0
322 EAST 116 STREET,3,3,4,20,100.92,20,52,1900,E,1988,0
247 ELDRIDGE STREET,6,10,11,25.42,50,25.46,50,2001,,0,0
1954 3 AVENUE,5,0,2,25.5,100,25,82,1910,E,0,0
391 WEST STREET,5,5,6,28.25,28.83,28,29,1910,,1984,0
20 WEST 75 STREET,4,4,4,21,102.17,21,76,1900,,1968,0
417 EAST 119 STREET,4,3,3,25,100.92,25,50,1900,E,2006,0
515 EAST 12 STREET,5,20,22,25,103.25,25,52,1900,E,1985,0
127 EAST 92 STREET,3,2,2,15,100.67,15,50,1901,E,0,0
60 WEST 142 STREET,16,257,257,184.75,362.17,43,234,1959,,1984,0
127 EAST 56 STREET,6,0,6,20,100.42,20,100.05,1915,,2002,2002
242 EAST 83 STREET,5,20,20,26,102.17,26,75,1901,E,1958,0
782 8 AVENUE,2,0,0,60.83,97,60.83,96.92,1974,,0,0
136 2 AVENUE,6,18,34,38,150,36,148,1938,,1989,0
131 EAST 38 STREET,4,1,1,19,98.75,19,40,1901,E,0,0
277 WEST 118 STREET,5,10,10,25,100.92,25,75,1910,E,1994,0
240 EAST 61 STREET,3,2,2,20,100.42,20,50,1910,E,0,0
80 CONVENT AVENUE,5,0,5,146.08,184,127,156,1953,,0,0
474 GREENWICH STREET,6,12,12,56.25,80,56,72,1900,E,0,0
216 WEST 99 STREET,6,25,25,60,100.92,60,86,1925,,2004,0
412 EAST 83 STREET,5,20,20,25,102.17,25,62,1930,E,1988,0
6 EAST 118 STREET,4,3,3,20,100.83,20,45,2000,,0,0
959 8 AVENUE,6,0,2,200.83,200,172,200,1928,,2003,0
161 CONVENT AVENUE,7,0,1,263.42,321.25,225,278,1925,,0,0
212 EAST 14 STREET,6,10,12,24,103.25,24,100,1920,,1987,2011
221 EAST 37 STREET,0,0,0,129,197.5,0,0,0,,0,0
117 WEST 92 STREET,4,9,9,20.5,100.67,21,65,1920,,1981,0
404 EAST 73 STREET,5,18,20,25,102.17,25,73,1910,,1988,0
141 EAST BROADWAY,3,0,1,50,104.42,50,45,1940,E,1967,0
211 WEST 111 STREET,4,6,7,17,100.92,17,55,1900,E,1951,0
527 F D R DRIVE,12,0,1,201.5,171,181,161,1955,,2010,1997
111 EAST 78 STREET,5,1,1,18.67,102.17,19,79,1930,E,1988,0
419 EAST 72 STREET,5,20,20,25,102.17,25,83,1920,,0,0
163 EAST 75 STREET,4,0,1,148.75,102.17,118.75,66,1925,,1986,2010
2330 ADAM C POWELL BLVD,5,9,10,27,100,27,82,1905,E,2001,0
229 WEST 58 STREET,66,173,173,25,100.42,25,100,2014,,0,0
EAST 52 STREET,0,0,0,100.75,33.5,0,0,0,,0,0
7 WEST 137 STREET,6,18,18,36.58,99.92,36.58,86.92,1926,,1995,0
2239 ADAM C POWELL BLVD,8,115,118,199.84,125,199,125,2013,,2013,0
505 EAST 116 STREET,4,0,1,60,100.92,60,100,2007,,0,0
33 WEST 56 STREET,17,47,50,100,100.42,0,0,2008,,0,0
2 COOPER SQUARE,16,133,134,71,90,0,0,2009,,0,0
245 WEST 129 STREET,5,0,1,241.91,214.06,214.06,202,2011,,0,0
10 SOUTH STREET,5,0,0,311,555,205,270,1900,,2014,0
392 7 AVENUE,0,0,0,455,257.33,0,0,0,,0,0
39 EAST 67 STREET,5,5,5,25,100.42,25,90,1910,,1957,0
414 EAST 115 STREET,4,4,4,18.75,100.92,18,58,1900,E,0,0
510 WEST 169 STREET,2,1,1,18,85,18,40,1899,E,0,0
309 WEST 29 STREET,4,8,8,22,98.75,22,55,1900,E,1986,0
508 WEST 136 STREET,6,25,25,37.5,99.92,38,84,1905,E,0,0
30 VANDAM STREET,6,0,9,50.08,100,50.08,100,1900,E,2012,0
161 DYCKMAN STREET,1,0,2,100,100,100,100,1925,,1964,0
306 EAST 30 STREET,3,2,2,21,98.75,21,45,1910,E,0,0
131 RIVERSIDE DRIVE,13,55,55,102.17,125,102,112,1909,,1985,0
400 3 AVENUE,16,30,30,24.71,120,24.71,89,2004,,0,0
1080 AMSTERDAM AVENUE,20,96,98,50.92,100.92,50,90,1932,,1990,0
320 EAST 58 STREET,13,127,128,104.83,100.42,96,93,1961,,1984,0
108 CHARLES STREET,5,20,20,24.75,92.25,25,64,1901,,1986,2010
29 CARMINE STREET,0,0,0,25,100,0,0,0,,0,0
258 WEST 123 STREET,4,3,3,16.67,100.92,17,74,1910,E,1988,2007
315 EAST 9 STREET,6,24,26,25,92.25,25,78.5,1900,E,0,0
1066 2 AVENUE,4,9,11,21.25,70,21,70,1910,E,1987,0
88 WEST HOUSTON STREET,4,0,7,18.75,98,19,98,1900,E,1996,0
117 EAST 64 STREET,5,5,5,20,100.42,20,60,1910,E,0,0
2272 1 AVENUE,4,6,7,20.42,94,20,49,1900,E,1986,0
62 WATTS STREET,0,0,0,21.33,80.5,0,0,0,,0,0
227 WEST 29 STREET,14,0,3,46.83,98.75,46.83,98.75,1927,,0,0
411 WEST 128 STREET,5,30,30,60.5,99.92,61,86,1920,E,1986,0
424 WEST 146 STREET,5,14,14,37.5,99.92,37,86,1926,,1993,0
F D R DRIVE,0,0,0,297.58,312,0,0,0,,0,0
50 PARK TERRACE WEST,6,50,50,100.17,100,88,100,1925,E,1986,0
226 EAST 10 STREET,4,8,8,25,92.25,25,56,1900,E,0,0
348 LENOX AVENUE,5,9,10,25,100,25,83,1909,,1990,0
306 WEST 75 STREET,6,30,30,35,138.67,30,120,1920,E,0,0
209 BOWERY,5,0,3,49.1,116.33,49,117,1900,E,0,0
334 GRAND STREET,7,2,5,24.5,60.08,24.5,60,1900,,1985,2007
104 WEST 29 STREET,12,0,18,103.58,98.75,104,98,1923,,2003,0
335 LEXINGTON AVENUE,4,10,13,23,65,23,65,1920,E,1958,0
451 9 AVENUE,0,0,0,198,197.5,0,0,0,,0,0
333 WEST 84 STREET,4,6,6,18,102.17,18,66,1910,E,2009,2009
404 EAST 63 STREET,5,16,17,25,100.42,25,79,1910,,1986,0
122 WEST 27 STREET,12,0,19,98.75,98.75,99,96,1912,,0,0
