Address,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,YearBuilt,BuiltCode,YearAlter1,YearAlter2
831 WEST 176 STREET,5,42,42,98,90,98,74,1926,,0,0
2368 ADAM C POWELL BLVD,4,6,7,19.42,77.67,19,56,1910,,1956,0
301 WEST 29 STREET,4,7,8,28,98.75,28,48,1900,E,1986,0
346 EAST 65 STREET,5,20,20,27,100.42,27,80,1910,,0,0
176 WEST 105 STREET,3,0,2,40,80.92,40,78,1966,,0,0
405 EAST 50 STREET,3,1,2,19.42,80,19.42,45,1910,E,0,0
221 EAST 123 STREET,4,0,1,86,200.92,86,145,1995,,0,0
WEST 113 STREET,0,0,0,25,100.92,0,0,0,,0,0
129 EAST 81 STREET,3,1,1,17,102.17,17,70,1920,E,2001,1984
520 EAST 76 STREET,14,102,102,100,92.08,98,65,1964,,0,0
60 MAC DOUGAL STREET,5,0,1,49.83,100,49,100,1909,,0,0
4188 BROADWAY,1,0,1,76.08,103,76,103,1912,,1941,0
31 MERCER STREET,5,12,14,64.25,119.75,64,109,1920,E,1982,0
2262 8 AVENUE,0,0,0,24.25,100,0,0,0,,0,0
9 EAST 62 STREET,6,4,7,25,100.42,25,92,1900,E,0,0
105 RIVINGTON STREET,3.5,0,2,24,100,24,92,1990,,2000,2004
